Scan Value,Angle Offset X,Angle Offset Y
-2.99966,0.0002206679742710959,0.002163885506835082
-2.49979,0.0001551585322423079,0.0019457435751655467
-1.99978,0.00015269757015690122,0.0014546891362045167
-1.49981,0.0001331680396742569,0.0009397373430055019
-0.99986,-4.4743581780082024e-05,0.0005208672216640334
-0.4997,0.0,0.0
0.00024,-9.138081274149035e-06,-0.00044653823424218664
0.49997,0.0001388192566736006,-0.0009541893287209748
0.99997,0.0001715955016011221,-0.0014527743956292156
1.5000299999999998,0.00014149775427698983,-0.0019470135036099181
1.99994,0.00025193265485838905,-0.002439309892705974
2.1817545454545457,0.0002555441425036173,-0.002907651691374666
3.00004,0.0026087543502156087,-0.0010215253113378371
