Scan Value,Angle Offset X,Angle Offset Y
-2.99982,0.00018193835198988386,0.002406193315563293
-2.49972,0.0001890459646949584,0.0018725278581221182
-1.99988,-0.00028929048477704337,0.001624747917033591
-1.49985,-3.238405916940026e-05,0.0010966413523131693
-0.99983,0.00010995686465670613,0.0005636343302251021
-0.49982,0.0,0.0
-4e-05,-4.181251655392271e-05,-0.0004855181846481235
0.5,-0.00045840030636592463,-0.0010271069107859396
1.00007,-6.460155638463459e-05,-0.0015544650288660453
1.49996,-0.00013951044849934945,-0.002169694383617286
1.9999100000000003,0.00013682134222402193,-0.0026082464275816943
2.49993,-0.0003899272917932224,-0.003252156199441254
3.0000300000000006,-0.00035778941747209716,-0.0038041823808909764
