Scan Value,Angle Offset X,Angle Offset Y
-2.99971,0.0023738627734037573,9.161579441630402e-05
-2.49974,0.0017271450361968095,1.5543837783772762e-05
-1.99982,0.0012934262195714809,4.702913084821309e-05
-1.49971,0.0007426135402150054,7.4344724800471194e-06
-0.99985,0.0005325911901802793,3.0032182608655488e-05
-0.49976,0.0,0.0
0.00011000000000000002,-0.0004228186970014053,2.3031586828174304e-05
0.50001,-0.000930662942070792,-4.260369061018118e-05
0.9999599999999998,0.001991872793516087,-0.0004498912481349652
1.49998,0.002047652200551174,-0.00045883567531537214
2.00008,0.0020515070309727636,-0.00045911655833433935
2.00008,0.002053957678241988,-0.00045872131924830606
2.2727636363636363,0.002058586569828686,-0.00046162207031080646
