Momentum_MeV/c	Charge_pC	ChargeDen_pC/MeV/c	acepAngle_mrad	NrmMmt_MeV/c/T	gap Mmt_MeV/c
1.45950202e+00	0.00000000e+00	0.00000000e+00	1.06799488e+01	7.27931182e+00	3.30451287e+01
1.65587180e+00	4.87995414e-03	2.48508407e-02	1.06149303e+01	8.25871223e+00	0.00000000e+00
1.85224158e+00	3.38371167e-03	1.72313258e-02	1.05599162e+01	9.23811263e+00	0.00000000e+00
2.04861136e+00	2.64253850e-03	1.34569509e-02	1.05126454e+01	1.02175130e+01	0.00000000e+00
2.24498115e+00	2.48864251e-03	1.26732458e-02	1.04703948e+01	1.11969134e+01	0.00000000e+00
2.44135093e+00	1.81684798e-03	9.25217703e-03	1.04333619e+01	1.21763138e+01	0.00000000e+00
2.63772071e+00	1.66804183e-03	8.49439165e-03	1.04004239e+01	1.31557143e+01	0.00000000e+00
2.83409049e+00	1.59553328e-03	8.12514669e-03	1.03701114e+01	1.41351147e+01	0.00000000e+00
3.03046027e+00	1.32922433e-03	6.76898613e-03	1.03440075e+01	1.51145151e+01	0.00000000e+00
3.22683005e+00	1.91917843e-03	9.77328802e-03	1.03183349e+01	1.60939155e+01	0.00000000e+00
3.42319983e+00	1.86356891e-03	9.49010023e-03	1.02942357e+01	1.70733159e+01	0.00000000e+00
3.61956961e+00	8.62610794e-04	4.39278787e-03	1.02719872e+01	1.80527163e+01	0.00000000e+00
3.81593940e+00	1.13350992e-03	5.77232359e-03	1.02502752e+01	1.90321167e+01	0.00000000e+00
4.01230918e+00	1.17242100e-03	5.97047564e-03	1.02290702e+01	2.00115171e+01	0.00000000e+00
4.20867896e+00	1.56432126e-03	7.96620156e-03	1.02083931e+01	2.09909175e+01	0.00000000e+00
4.40504874e+00	1.55194286e-03	7.90316537e-03	1.01886814e+01	2.19703179e+01	0.00000000e+00
4.60141852e+00	1.56308114e-03	7.95988636e-03	1.01686371e+01	2.29497183e+01	0.00000000e+00
