,motor_positions,beam_positions
0,-1650.0,180.989883
1,-523.0,220.513153
2,392.0,249.500641
3,-925.0,209.990295
4,1429.0,285.001007
5,493.0,255.491928
6,-988.0,214.304672
7,1524.0,297.002258
8,-1161.0,216.0
9,1663.0,312.665222
10,-777.0,238.133163
11,357.0,275.997253
12,-944.0,237.86882
13,569.0,288.416779
14,120.0,271.273346
15,-193.0,262.006104
16,-1157.0,235.821442
17,595.0,295.363434
18,473.0,290.355042
19,26.0,274.247864
20,-1002.0,244.213058
21,59.0,280.671783
22,-1856.0,224.285309
23,537.0,306.0
24,-781.0,263.339294
25,1219.0,339.996124
26,-603.0,276.80542
27,-1913.0,239.627151
28,-77.0,303.369568
29,-1272.0,264.498993
30,-1230.0,266.091705
31,-716.0,283.999512
32,-629.0,287.509369
33,-1799.0,250.002762
34,-1261.0,267.506805
35,706.0,343.007843
36,51.0,312.895325
37,-1536.0,266.108551
38,1104.0,365.992676
39,1009.0,360.351166
40,-1673.0,269.304962
41,-1540.0,273.670624
42,-1704.0,268.549255
43,173.0,341.371704
44,591.0,356.987885
45,-1145.0,290.495178
46,-204.0,325.7995
47,-843.0,300.640503
48,1175.0,380.135529
49,-578.0,312.805115
50,-1531.0,283.803925
51,1432.0,395.821899
52,1104.0,379.625092
53,581.0,360.194824
54,-1741.0,283.181702
55,-716.0,322.014343
56,-1134.0,304.610352
57,1485.0,406.672516
58,195.0,360.532837
59,652.0,377.498505
60,-1750.0,299.113251
61,-778.0,337.012238
62,-775.0,337.203827
63,-1931.0,293.452881
64,-494.0,350.000549
65,-665.0,340.995972
66,-1527.0,306.111115
67,-487.0,348.882751
68,370.0,381.508911
69,-1426.0,311.503357
70,473.0,387.135742
71,1595.0,425.196045
72,-413.0,357.913635
73,1336.0,423.995422
74,900.0,407.916382
75,1113.0,416.12207
76,930.0,409.644684
77,-1329.0,335.289001
78,-312.0,375.1315
79,1423.0,435.627533
80,508.0,407.912659
81,1709.0,448.004608
82,-1147.0,361.497437
83,656.0,430.193787
84,-858.0,381.501709
85,-364.0,399.69693
86,-1665.0,356.294647
87,770.0,445.805267
88,-166.0,418.001556
89,-198.0,416.753265
90,350.0,435.627197
91,-1253.0,386.701019
92,907.0,461.362823
93,-1612.0,387.005005
94,1572.0,490.990601
95,966.0,472.112152
96,-182.0,440.513275
97,1952.0,505.011993
98,-1931.0,390.50708
99,28.0,459.185455
