Scan Value,Angle Offset X,Angle Offset Y
-2.99973,0.002725185257958903,-8.012258044730863e-07
-2.49982,0.0015835856573281455,7.075347899700285e-05
-1.9997299999999998,0.001418291934070748,9.469837344487846e-06
-1.49968,0.0012576405646415034,7.774138302677494e-05
-0.99987,0.000707503036364583,2.6755814860646404e-05
-0.49984,0.0,0.0
-2e-05,-0.0007787183167928276,0.0001347769352590884
0.50005,-0.0009932532789343163,-5.9374366065330925e-05
0.99994,-0.001407484885816649,-1.769753916433919e-05
1.49989,-0.0017362091521345043,-5.034964375535974e-05
1.9999,0.004445774837637969,-0.0008482099180061192
2.50001,0.004515997128644943,-0.0008590311278532693
2.99999,0.004503283500627126,-0.000857321284831572
