momentum [MeV/c]	total energy [MeV]	kinetic energy [MeV]	\gamma	\beta	drf1 [m]	drf2 [m]	elcRds [m]	bending angle [dgr]	inc angle in [dgr]	inc angle out [dgr]	fringe extend ups [m]	fringe extend dws [m]	fringe backoff [m]	side logic	front screen [m]	side screen [m]	bending angle at front screen [dgr]	bending angle at side screen [dgr]	total path [m]	max B [T]	eff length ups [m]	eff length dws [m]	ups boundary s [m]	center s [m]	dws boundary s [m]	ups Enge 0	ups Enge 1	ups Enge 2	ups Enge 3	ups Enge 4	ups Enge 5	dws Enge 0	dws Enge 1	dws Enge 2	dws Enge 3	dws Enge 4	dws Enge 5	ups fit cost	ups normalized cost	ups fit error	dws fit cost	dws normalized cost	dws fit error	x[mm](rms)	xp[mm](rms)	y[mm](rms)	yp[mm](rms)	x[mm](rms,b)	xp[mm](rms,b)	y[mm](rms,b)	yp[mm](rms,b)	x conv fct rms	y conv fct rms	momentum rsl rms [%]	x[mm](fwhm)	xp[mm](fwhm)	y[mm](fwhm)	yp[mm](fwhm)	x[mm](fwhm,b)	xp[mm](fwhm,b)	y[mm](fwhm,b)	yp[mm](fwhm,b)	x conv fct fwhm	y conv fct fwhm	momentum rsl [%/mrad]	peak momentum error [%]	arc Coeff [MeV/mm2]
3.466666666667e+03	3.466666704328e+03	3.466155705268e+03	6.784096049664e+03	9.999999891361e-01	1.158918990688e+01	6.370082303278e-01	1.154147129895e+01	6.601587644523e+00	-1.390793673188e+00	-8.339137230704e+01	5.006899068782e-01	7.330082303279e-01	2.865000000001e-01	0.000000000000e+00	4.930041206169e-01	1.669657238388e+00	-6.589841235548e+01	-8.339841235548e+01	1.355650000000e+01	1.001913447661e+00	5.381386968507e-01	7.921631659433e-01	1.158918990688e+01	1.212732860373e+01	1.291949176967e+01	9.644481470048e-01	1.400017770177e+00	-7.947416432465e-01	3.243059016747e-01	-5.755912554314e-02	3.543627305872e-03	3.158206370453e-01	1.578331103807e+00	-1.032170003533e+00	1.546684265536e+00	-9.103678870858e-03	-5.225694757732e-02	0.000000000000e+00	0.000000000000e+00	1.381855091254e-03	0.000000000000e+00	0.000000000000e+00	3.411345299256e-04	1.5499	0.82451	2.0489	1.2691	3.2538	0.098009	1.3521	0.099708	0.47635	1.5154	0.53921	2.391	1.754	4.3751	2.7102	4.7345	0.20251	2.7452	0.20377	0.50502	1.5938	7.9079	0.0017705	-0.14995
3.553333333333e+03	3.553333370076e+03	3.552822371016e+03	6.953698447266e+03	9.999999896596e-01	1.158917976703e+01	6.319655945835e-01	1.183026055330e+01	6.498809316438e+00	-1.381597014722e+00	-8.348820935477e+01	5.006797670287e-01	7.234655945836e-01	2.820000000001e-01	0.000000000000e+00	4.857871734700e-01	1.669521439660e+00	-6.600119068356e+01	-8.350119068356e+01	1.356350000000e+01	1.001892065632e+00	5.446449400431e-01	7.977096983448e-01	1.158917976703e+01	1.213382470707e+01	1.293153440542e+01	9.647916867305e-01	1.399639227841e+00	-7.945361466830e-01	3.242525932773e-01	-5.755172246301e-02	3.543175325834e-03	2.884567301709e-01	1.607966927291e+00	-9.941257744417e-01	1.705427627853e+00	4.704185991996e-03	-6.256833953036e-02	0.000000000000e+00	0.000000000000e+00	1.384003362149e-03	0.000000000000e+00	0.000000000000e+00	3.532394883229e-04	1.6425	0.84361	2.0245	1.2455	3.3659	0.10092	1.353	0.099756	0.48798	1.4963	0.56754	2.6039	1.785	4.39	2.712	4.8792	0.19961	2.7491	0.20394	0.53367	1.5969	8.6084	-0.01328	-0.14736
3.640000000000e+03	3.640000035868e+03	3.639489036808e+03	7.123300844953e+03	9.999999901461e-01	1.158939035584e+01	6.259483572590e-01	1.211985851033e+01	6.399338619640e+00	-1.358186756467e+00	-8.358376097519e+01	5.008903558388e-01	7.134483572591e-01	2.780000000001e-01	0.000000000000e+00	4.787862152662e-01	1.669863621640e+00	-6.610066138036e+01	-8.360066138036e+01	1.356950000000e+01	1.001804852331e+00	5.506875527498e-01	8.034737341525e-01	1.158939035584e+01	1.214007790859e+01	1.294355164274e+01	9.569428287770e-01	1.408143890368e+00	-8.001971636021e-01	3.260186246898e-01	-5.780760224943e-02	3.557203945935e-03	2.618506828078e-01	1.640922674426e+00	-9.359373817060e-01	1.885129542264e+00	1.430924483665e-02	-7.191166530795e-02	0.000000000000e+00	0.000000000000e+00	1.397349863161e-03	0.000000000000e+00	0.000000000000e+00	3.653542937851e-04	1.6641	0.82689	2.0079	1.2279	3.3538	0.10012	1.3474	0.0993	0.49619	1.4902	0.57578	2.5731	1.7317	4.232	2.5863	4.8459	0.20322	2.7518	0.20224	0.53099	1.5379	8.713	-0.012328	-0.14037
3.726666666667e+03	3.726666701701e+03	3.726155702641e+03	7.292903242720e+03	9.999999905991e-01	1.158907526117e+01	6.212254692498e-01	1.241001118377e+01	6.302988384386e+00	-1.370170724243e+00	-8.367918293921e+01	5.005752611683e-01	7.047254692499e-01	2.740000000001e-01	0.000000000000e+00	4.719906504338e-01	1.669691462079e+00	-6.619701161561e+01	-8.369701161561e+01	1.357600000000e+01	1.001676933537e+00	5.572531031948e-01	8.084461663872e-01	1.158907526117e+01	1.214632836436e+01	1.295477453075e+01	9.684268293634e-01	1.395213519162e+00	-7.925101984593e-01	3.242232099561e-01	-5.766300504563e-02	3.556009298957e-03	2.323485428514e-01	1.682569500838e+00	-8.683640196243e-01	2.089181909993e+00	2.165263690693e-02	-8.174510420564e-02	0.000000000000e+00	0.000000000000e+00	1.411654658901e-03	0.000000000000e+00	0.000000000000e+00	3.760381038258e-04	1.6954	0.81721	1.988	1.2084	3.3603	0.0999	1.3449	0.099075	0.50454	1.4782	0.57945	3.1579	1.7141	4.3221	2.6141	4.9157	0.20155	2.7813	0.20499	0.64241	1.554	11.0949	0.0052486	-0.17991
3.813333333333e+03	3.813333367571e+03	3.812822368511e+03	7.462505640560e+03	9.999999910216e-01	1.158930068566e+01	6.158958278271e-01	1.269922920536e+01	6.209540739156e+00	-1.341910532006e+00	-8.377059249820e+01	5.008006856555e-01	6.948958278272e-01	2.695000000001e-01	0.000000000000e+00	4.653906168307e-01	1.669503064423e+00	-6.629045926084e+01	-8.379045926084e+01	1.358200000000e+01	1.001628573241e+00	5.632750598008e-01	8.135284267167e-01	1.158930068566e+01	1.215257574546e+01	1.296610417217e+01	9.600850042609e-01	1.404287922108e+00	-7.984248654733e-01	3.260016697053e-01	-5.790942253911e-02	3.568924712364e-03	2.044832607326e-01	1.728984636172e+00	-7.689250844663e-01	2.315475865268e+00	1.904932962784e-02	-9.242775086443e-02	0.000000000000e+00	0.000000000000e+00	1.420298571500e-03	0.000000000000e+00	0.000000000000e+00	3.851349807941e-04	1.7188	0.80489	1.9632	1.1862	3.3505	0.099185	1.3412	0.09871	0.51301	1.4638	0.59517	3.1626	1.703	4.2818	2.5941	5.9069	0.2013	2.6875	0.19979	0.53541	1.5932	10.9718	-0.012004	-0.1176
3.900000000000e+03	3.900000033477e+03	3.899489034417e+03	7.632108038471e+03	9.999999914162e-01	1.158928870667e+01	6.111329756683e-01	1.298835042031e+01	6.118847342773e+00	-1.334314921119e+00	-8.385243587086e+01	5.007887066663e-01	6.851329756684e-01	2.645000000001e-01	0.000000000000e+00	4.589769201915e-01	1.669796682445e+00	-6.638115265723e+01	-8.388115265723e+01	1.358800000000e+01	1.001589831791e+00	5.692918876438e-01	8.182864300216e-01	1.158928870667e+01	1.215858059431e+01	1.297686702433e+01	9.604841072643e-01	1.403744298626e+00	-7.982358080998e-01	3.260652745659e-01	-5.794307381114e-02	3.572230724507e-03	1.750110236322e-01	1.782171556651e+00	-6.476993575910e-01	2.557067557666e+00	7.546271177302e-03	-1.004030581332e-01	0.000000000000e+00	0.000000000000e+00	1.425358877135e-03	0.000000000000e+00	0.000000000000e+00	3.939378672834e-04	1.7456	0.7945	2.0075	1.2048	3.3339	0.098302	1.3727	0.10103	0.5236	1.4624	0.61339	3.1935	1.7282	4.1838	2.5218	6.1116	0.20589	2.7505	0.20191	0.52253	1.5211	11.1048	-0.0050016	-0.098694
4.040000000000e+03	4.040000032317e+03	4.039489033257e+03	7.906081142922e+03	9.999999920008e-01	1.158901122638e+01	6.036655204124e-01	1.345542173310e+01	5.977750024220e+00	-1.342933574703e+00	-8.398161115461e+01	5.005112263837e-01	6.721655204125e-01	2.590000000001e-01	0.000000000000e+00	4.489034714313e-01	1.669744701492e+00	-6.652224997578e+01	-8.402224997578e+01	1.359700000000e+01	1.001528581810e+00	5.793190796138e-01	8.250041735902e-01	1.158901122638e+01	1.216833030600e+01	1.299333447959e+01	9.706009618408e-01	1.392228763082e+00	-7.913215457993e-01	3.244952751433e-01	-5.783658978139e-02	3.573764821472e-03	1.257497441290e-01	1.882626529188e+00	-4.199370684565e-01	3.018621730816e+00	8.234885357907e-04	-1.185148849197e-01	0.000000000000e+00	0.000000000000e+00	1.432442539677e-03	0.000000000000e+00	0.000000000000e+00	4.099868970054e-04	1.855	0.80562	1.9662	1.1679	3.4625	0.10145	1.364	0.10029	0.53574	1.4416	0.64356	3.415	1.6753	4.1312	2.46	5.9699	0.20263	2.7209	0.19955	0.57204	1.5183	12.1511	-0.0034545	-0.19009
4.180000000000e+03	4.180000031234e+03	4.179489032174e+03	8.180054247525e+03	9.999999925276e-01	1.158893396894e+01	5.961717704601e-01	1.392382180105e+01	5.842788686144e+00	-1.332083564483e+00	-8.410943273404e+01	5.004339689433e-01	6.586717704601e-01	2.530000000001e-01	0.000000000000e+00	4.392668285802e-01	1.669659992831e+00	-6.665721131386e+01	-8.415721131386e+01	1.360550000000e+01	1.001375870685e+00	5.888999813064e-01	8.314942792904e-01	1.158893396894e+01	1.217783395025e+01	1.300932822954e+01	9.733388184563e-01	1.389162635752e+00	-7.898609043569e-01	3.243046360266e-01	-5.784958761926e-02	3.576462761800e-03	7.678860768619e-02	2.024925349202e+00	-5.597509256892e-02	3.523400667755e+00	-1.512533585753e-01	-1.127193712730e-01	0.000000000000e+00	0.000000000000e+00	1.451552678119e-03	0.000000000000e+00	0.000000000000e+00	4.143372369446e-04	1.8621	0.7759	1.9312	1.1362	3.3906	0.098751	1.359	0.099868	0.54921	1.4211	0.6595	3.4689	1.6543	4.0073	2.3921	6.1508	0.20377	2.7833	0.20265	0.56397	1.4398	12.2585	-0.030462	-0.14551
4.320000000000e+03	4.320000030222e+03	4.319489031162e+03	8.454027352266e+03	9.999999930041e-01	1.158917209123e+01	5.893060310892e-01	1.439082182189e+01	5.713412209376e+00	-1.316311140190e+00	-8.422791118142e+01	5.006720912283e-01	6.458060310893e-01	2.470000000001e-01	0.000000000000e+00	4.300365187664e-01	1.669545936966e+00	-6.678658779062e+01	-8.428658779062e+01	1.361400000000e+01	1.001330507104e+00	5.979191017675e-01	8.376027759151e-01	1.158917209123e+01	1.218709119300e+01	1.302469396891e+01	9.645668084553e-01	1.398753567193e+00	-7.961023284592e-01	3.261552154996e-01	-5.809933413933e-02	3.589098037844e-03	2.848205688268e-02	2.196106030543e+00	4.134713468445e-01	4.095020779464e+00	-3.907923345162e-01	-9.044889843879e-02	0.000000000000e+00	0.000000000000e+00	1.459584650012e-03	0.000000000000e+00	0.000000000000e+00	4.184403833871e-04	1.9735	0.79148	1.9198	1.1182	3.5362	0.10238	1.3699	0.10064	0.55809	1.4014	0.69813	3.6326	1.6446	3.9861	2.3351	6.3043	0.20205	2.7879	0.20421	0.5762	1.4298	12.8208	0.0018852	-0.22116
4.460000000000e+03	4.460000029274e+03	4.459489030214e+03	8.728000457131e+03	9.999999934364e-01	1.158913679583e+01	5.834299094847e-01	1.485850509989e+01	5.589149777362e+00	-1.312426891933e+00	-8.435257893465e+01	5.006367958344e-01	6.339299094848e-01	2.410000000001e-01	0.000000000000e+00	4.211850271911e-01	1.669903062918e+00	-6.691085022264e+01	-8.441085022264e+01	1.362250000000e+01	1.001241951719e+00	6.069645734422e-01	8.429687212388e-01	1.158913679583e+01	1.219610136928e+01	1.303907009052e+01	9.657781331617e-01	1.397305208044e+00	-7.954545861215e-01	3.261369401533e-01	-5.812972620550e-02	3.592608104464e-03	-2.080752190175e-02	2.447798410128e+00	1.093709099287e+00	4.575772593037e+00	-1.128305700477e+00	3.136633953694e-02	0.000000000000e+00	0.000000000000e+00	1.470476417867e-03	0.000000000000e+00	0.000000000000e+00	3.971037096849e-04	1.993	0.77328	1.9353	1.1175	3.4971	0.10067	1.3796	0.10127	0.5699	1.4028	0.71502	3.6121	1.6207	4.013	2.3219	6.1968	0.20336	2.7635	0.20172	0.58289	1.4521	13.315	-0.010555	-0.25108
