Angle_mrad	Charge_pC	ChargeDen_pC/mrad
-1.11503e+01	0.00000e+00	0.00000e+00
-1.09759e+01	2.14097e-05	1.22745e-04
-1.08014e+01	1.28095e-05	7.34384e-05
-1.06270e+01	9.37539e-05	5.37504e-04
-1.04526e+01	1.29659e-04	7.43353e-04
-1.02782e+01	7.33499e-05	4.20525e-04
-1.01037e+01	1.07580e-04	6.16770e-04
-9.92932e+00	9.95395e-05	5.70674e-04
-9.75489e+00	1.81794e-04	1.04225e-03
-9.58047e+00	1.79376e-04	1.02839e-03
-9.40605e+00	1.53551e-04	8.80330e-04
-9.23162e+00	1.57857e-04	9.05017e-04
-9.05720e+00	1.72121e-04	9.86790e-04
-8.88277e+00	1.83915e-04	1.05441e-03
-8.70835e+00	4.35102e-04	2.49450e-03
-8.53392e+00	4.74635e-04	2.72115e-03
-8.35950e+00	2.18780e-04	1.25430e-03
-8.18507e+00	3.62898e-04	2.08054e-03
-8.01065e+00	5.16134e-04	2.95907e-03
-7.83622e+00	3.84559e-04	2.20473e-03
-7.66180e+00	4.42655e-04	2.53780e-03
-7.48737e+00	4.14270e-04	2.37507e-03
-7.31295e+00	2.38370e-04	1.36661e-03
-7.13853e+00	2.07413e-04	1.18912e-03
-6.96410e+00	4.58875e-04	2.63079e-03
-6.78968e+00	3.80096e-04	2.17914e-03
-6.61525e+00	3.30762e-04	1.89630e-03
-6.44083e+00	3.08774e-04	1.77024e-03
-6.26640e+00	4.08485e-04	2.34190e-03
-6.09198e+00	4.65567e-04	2.66916e-03
-5.91755e+00	3.12116e-04	1.78940e-03
-5.74313e+00	3.32808e-04	1.90803e-03
-5.56870e+00	5.59859e-04	3.20975e-03
-5.39428e+00	5.23934e-04	3.00379e-03
-5.21986e+00	4.37796e-04	2.50995e-03
-5.04543e+00	4.30814e-04	2.46991e-03
-4.87101e+00	5.44748e-04	3.12311e-03
-4.69658e+00	5.40510e-04	3.09882e-03
-4.52216e+00	3.62610e-04	2.07889e-03
-4.34773e+00	3.90892e-04	2.24104e-03
-4.17331e+00	4.32441e-04	2.47924e-03
-3.99888e+00	4.35383e-04	2.49611e-03
-3.82446e+00	5.90262e-04	3.38405e-03
-3.65003e+00	4.48306e-04	2.57020e-03
-3.47561e+00	4.87975e-04	2.79763e-03
-3.30118e+00	4.38923e-04	2.51641e-03
-3.12676e+00	5.24618e-04	3.00770e-03
-2.95234e+00	3.59186e-04	2.05926e-03
-2.77791e+00	4.66712e-04	2.67573e-03
-2.60349e+00	5.61634e-04	3.21992e-03
-2.42906e+00	5.55543e-04	3.18500e-03
-2.25464e+00	4.35803e-04	2.49852e-03
-2.08021e+00	4.43614e-04	2.54330e-03
-1.90579e+00	3.92541e-04	2.25049e-03
-1.73136e+00	3.67687e-04	2.10800e-03
-1.55694e+00	4.88674e-04	2.80163e-03
-1.38251e+00	3.79372e-04	2.17499e-03
-1.20809e+00	3.92925e-04	2.25269e-03
-1.03366e+00	3.76522e-04	2.15865e-03
-8.59240e-01	4.15867e-04	2.38422e-03
-6.84815e-01	4.77855e-04	2.73961e-03
-5.10391e-01	4.84718e-04	2.77895e-03
-3.35966e-01	4.78227e-04	2.74174e-03
-1.61542e-01	4.13231e-04	2.36911e-03
1.28831e-02	4.74269e-04	2.71905e-03
1.87308e-01	3.87525e-04	2.22173e-03
3.61732e-01	3.82418e-04	2.19245e-03
5.36157e-01	4.96408e-04	2.84597e-03
7.10581e-01	4.54798e-04	2.60742e-03
8.85006e-01	5.79809e-04	3.32413e-03
1.05943e+00	4.23619e-04	2.42867e-03
1.23386e+00	4.82505e-04	2.76627e-03
1.40828e+00	6.32066e-04	3.62372e-03
1.58270e+00	4.49224e-04	2.57546e-03
1.75713e+00	5.22344e-04	2.99467e-03
1.93155e+00	4.00365e-04	2.29534e-03
2.10598e+00	4.54234e-04	2.60418e-03
2.28040e+00	4.41854e-04	2.53321e-03
2.45483e+00	4.36750e-04	2.50395e-03
2.62925e+00	4.11651e-04	2.36005e-03
2.80368e+00	4.32669e-04	2.48055e-03
2.97810e+00	4.33100e-04	2.48302e-03
3.15253e+00	4.16327e-04	2.38686e-03
3.32695e+00	4.17764e-04	2.39510e-03
3.50138e+00	4.37867e-04	2.51035e-03
3.67580e+00	5.15860e-04	2.95750e-03
3.85022e+00	5.62538e-04	3.22511e-03
4.02465e+00	3.65768e-04	2.09700e-03
4.19907e+00	3.45205e-04	1.97911e-03
4.37350e+00	5.56373e-04	3.18976e-03
4.54792e+00	5.23235e-04	2.99978e-03
4.72235e+00	3.48187e-04	1.99621e-03
4.89677e+00	4.91517e-04	2.81793e-03
5.07120e+00	5.91645e-04	3.39198e-03
5.24562e+00	4.47353e-04	2.56474e-03
5.42005e+00	5.43200e-04	3.11424e-03
5.59447e+00	4.54667e-04	2.60666e-03
5.76890e+00	6.28931e-04	3.60575e-03
5.94332e+00	4.58652e-04	2.62951e-03
6.11774e+00	4.11512e-04	2.35925e-03
6.29217e+00	3.98329e-04	2.28367e-03
6.46659e+00	4.83560e-04	2.77231e-03
6.64102e+00	3.49134e-04	2.00163e-03
6.81544e+00	3.86364e-04	2.21508e-03
6.98987e+00	3.59268e-04	2.05973e-03
7.16429e+00	4.50666e-04	2.58373e-03
7.33872e+00	4.50922e-04	2.58520e-03
7.51314e+00	4.56706e-04	2.61835e-03
7.68757e+00	4.81586e-04	2.76100e-03
7.86199e+00	3.42796e-04	1.96530e-03
8.03641e+00	4.98614e-04	2.85862e-03
8.21084e+00	4.65904e-04	2.67109e-03
8.38526e+00	5.03160e-04	2.88468e-03
8.55969e+00	3.86702e-04	2.21701e-03
8.73411e+00	2.97862e-04	1.70768e-03
8.90854e+00	1.57813e-04	9.04763e-04
9.08296e+00	1.57810e-04	9.04748e-04
9.25739e+00	1.97638e-04	1.13309e-03
9.43181e+00	1.86605e-04	1.06983e-03
9.60624e+00	9.63371e-05	5.52314e-04
9.78066e+00	8.26202e-05	4.73673e-04
9.95509e+00	1.49581e-04	8.57571e-04
1.01295e+01	1.22493e-04	7.02270e-04
1.03039e+01	1.53139e-04	8.77969e-04
1.04784e+01	5.98669e-05	3.43225e-04
1.06528e+01	2.29712e-05	1.31697e-04
1.08272e+01	5.30284e-06	3.04019e-05
1.10016e+01	0.00000e+00	0.00000e+00
