scan	shotNumber	mgspcImgMissed	cam1_pC	cam2_pC	cam3_pC	cam4_pC
7.00000e+00	5.70000e+01	0.00000e+00	3.96033e+01	5.50390e+00	7.09886e-02	3.69697e-01
7.00000e+00	5.80000e+01	0.00000e+00	3.79751e+01	1.71572e+01	1.20032e-01	3.93935e-01
7.00000e+00	5.90000e+01	0.00000e+00	3.56888e+01	1.04854e+01	1.12867e-01	4.88683e-01
7.00000e+00	6.00000e+01	0.00000e+00	3.24939e+01	8.51056e+00	4.08499e-02	2.37166e-01
7.00000e+00	6.10000e+01	0.00000e+00	3.29278e+01	8.86594e+00	1.46018e-01	5.12914e-01
7.00000e+00	6.20000e+01	0.00000e+00	3.77399e+01	1.15344e+01	1.35267e-01	4.28111e-01
7.00000e+00	6.30000e+01	0.00000e+00	3.91773e+01	1.12372e+01	1.21703e-01	4.92744e-01
7.00000e+00	6.40000e+01	0.00000e+00	3.82672e+01	8.39118e+00	9.60901e-02	3.59129e-01
7.00000e+00	6.50000e+01	0.00000e+00	4.18621e+01	9.47684e+00	1.20244e-01	3.87704e-01
7.00000e+00	6.60000e+01	0.00000e+00	4.30732e+01	1.82773e+01	1.87733e-01	7.02533e-01
7.00000e+00	6.70000e+01	0.00000e+00	3.97953e+01	7.63919e+00	6.49717e-02	3.58548e-01
7.00000e+00	6.80000e+01	0.00000e+00	3.50163e+01	8.09828e+00	8.94922e-02	2.84710e-01
7.00000e+00	6.90000e+01	0.00000e+00	3.70937e+01	1.33620e+01	1.47503e-01	7.02533e-01
7.00000e+00	7.00000e+01	0.00000e+00	4.17232e+01	1.07007e+01	8.89548e-02	3.68464e-01
7.00000e+00	7.10000e+01	0.00000e+00	3.57615e+01	1.48164e+01	1.64304e-01	5.73583e-01
7.00000e+00	7.20000e+01	0.00000e+00	4.10016e+01	1.39816e+01	1.86826e-01	5.89268e-01
7.00000e+00	7.30000e+01	0.00000e+00	3.73544e+01	1.62346e+01	2.41101e-01	7.89222e-01
7.00000e+00	7.40000e+01	0.00000e+00	3.66706e+01	1.38305e+01	1.33552e-01	5.12563e-01
