location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
-9.11702e+01	-6.07802e+01	3.95831e+00	2.07098e+01
-9.14569e+01	-6.09713e+01	3.88977e+00	2.03512e+01
-9.17436e+01	-6.11624e+01	3.83232e+00	2.00506e+01
-9.20303e+01	-6.13536e+01	3.76232e+00	1.96843e+01
-9.23170e+01	-6.15447e+01	3.63687e+00	1.90280e+01
-9.26037e+01	-6.17358e+01	3.59743e+00	1.88216e+01
-9.28904e+01	-6.19270e+01	3.52483e+00	1.84418e+01
-9.31771e+01	-6.21181e+01	3.47475e+00	1.81798e+01
-9.34638e+01	-6.23092e+01	3.42228e+00	1.79053e+01
-9.37505e+01	-6.25004e+01	3.36206e+00	1.75902e+01
-9.40372e+01	-6.26915e+01	3.28239e+00	1.71733e+01
-9.43239e+01	-6.28826e+01	3.24297e+00	1.69671e+01
-9.46106e+01	-6.30738e+01	3.17718e+00	1.66229e+01
-9.48973e+01	-6.32649e+01	3.13687e+00	1.64120e+01
-9.51840e+01	-6.34560e+01	3.07395e+00	1.60828e+01
-9.54707e+01	-6.36472e+01	3.08465e+00	1.61388e+01
