position_to_test,actual_pos,centroid_x
3.1,3.09994,391.8383586666667
3.08,3.080047,438.0324196666667
3.06,3.060005,481.4107563333334
3.04,3.040012,531.5993243333334
3.02,3.02002,570.4810180000001
3.0,3.000027,613.7503253333333
2.98,2.980034,651.767171
2.96,2.960042,690.2532346666667
2.94,2.940049,732.3699543333332
2.92,2.920007,772.3769126666666
2.9,2.900014,804.6923623333333
