Wavelength (nm)	Quantum Efficiency (%)
200.000000	0.209790
200.531915	0.212308
201.063830	0.215664
201.595745	0.217343
202.127660	0.219860
202.659574	0.222378
203.191489	0.224895
203.723404	0.227413
204.255319	0.230769
204.787234	0.233287
205.319149	0.235804
205.851064	0.239161
206.382979	0.242517
206.914894	0.245874
207.446809	0.249231
207.978723	0.253427
208.510638	0.256783
209.042553	0.260140
209.574468	0.262657
210.106383	0.266014
210.638298	0.268531
211.170213	0.271049
211.702128	0.273566
212.234043	0.275245
212.765957	0.276923
213.297872	0.278601
213.829787	0.280280
214.361702	0.281958
214.893617	0.283636
215.425532	0.284476
215.957447	0.286154
216.489362	0.286993
217.021277	0.287832
217.553191	0.289510
218.085106	0.289510
218.617021	0.290350
219.148936	0.291189
219.680851	0.292028
220.212766	0.292867
220.744681	0.292867
221.276596	0.293706
221.808511	0.294545
222.340426	0.294545
222.872340	0.295385
223.404255	0.295385
223.936170	0.295385
224.468085	0.296224
225.000000	0.296224
225.531915	0.296224
226.063830	0.296224
226.595745	0.296224
227.127660	0.297063
227.659574	0.297063
228.191489	0.297063
228.723404	0.297063
229.255319	0.297063
229.787234	0.297063
230.319149	0.297063
230.851064	0.297063
231.382979	0.297063
231.914894	0.296224
232.446809	0.296224
232.978723	0.296224
233.510638	0.296224
234.042553	0.296224
234.574468	0.296224
235.106383	0.295385
235.638298	0.295385
236.170213	0.295385
236.702128	0.295385
237.234043	0.295385
237.765957	0.294545
238.297872	0.294545
238.829787	0.293706
239.361702	0.293706
239.893617	0.292867
240.425532	0.292028
240.957447	0.292028
241.489362	0.291189
242.021277	0.290350
242.553191	0.289510
243.085106	0.287832
243.617021	0.286154
244.148936	0.284476
244.680851	0.282797
245.212766	0.281119
245.744681	0.281119
246.276596	0.281119
246.808511	0.281958
247.340426	0.282797
247.872340	0.283636
248.404255	0.284476
248.936170	0.286154
249.468085	0.286993
250.000000	0.288671
250.531915	0.289510
251.063830	0.291189
251.595745	0.292028
252.127660	0.292867
252.659574	0.292867
253.191489	0.293706
253.723404	0.293706
254.255319	0.293706
254.787234	0.293706
255.319149	0.294545
255.851064	0.295385
256.382979	0.297063
256.914894	0.299580
257.446809	0.302098
257.978723	0.304615
258.510638	0.306294
259.042553	0.309650
259.574468	0.311329
260.106383	0.313846
260.638298	0.316364
261.170213	0.318881
261.702128	0.321399
262.234043	0.323077
262.765957	0.326434
263.297872	0.328112
263.829787	0.330629
264.361702	0.333147
264.893617	0.335664
265.425532	0.338182
265.957447	0.339860
266.489362	0.342378
267.021277	0.344895
267.553191	0.347413
268.085106	0.349091
268.617021	0.352448
269.148936	0.354126
269.680851	0.356643
270.212766	0.360839
270.744681	0.361678
271.276596	0.363357
271.808511	0.365874
272.340426	0.368392
272.872340	0.370070
273.404255	0.372587
273.936170	0.374266
274.468085	0.376783
275.000000	0.379301
275.531915	0.380979
276.063830	0.383497
276.595745	0.386014
277.127660	0.387692
277.659574	0.389371
278.191489	0.391888
278.723404	0.393566
279.255319	0.395245
279.787234	0.396923
280.319149	0.399441
280.851064	0.401119
281.382979	0.402797
281.914894	0.404476
282.446809	0.406993
282.978723	0.407832
283.510638	0.408671
284.042553	0.410350
284.574468	0.411189
285.106383	0.412028
285.638298	0.412867
286.170213	0.413706
286.702128	0.413706
287.234043	0.414545
287.765957	0.415385
288.297872	0.416224
288.829787	0.416224
289.361702	0.416224
289.893617	0.417063
290.425532	0.417063
290.957447	0.417902
291.489362	0.417902
292.021277	0.417902
292.553191	0.418741
293.085106	0.418741
293.617021	0.418741
294.148936	0.419580
294.680851	0.419580
295.212766	0.419580
295.744681	0.419580
296.276596	0.419580
296.808511	0.418741
297.340426	0.418741
297.872340	0.417902
298.404255	0.417902
298.936170	0.417063
299.468085	0.417063
300.000000	0.416224
300.531915	0.416224
301.063830	0.416224
301.595745	0.416224
302.127660	0.416224
302.659574	0.416224
303.191489	0.415385
303.723404	0.415385
304.255319	0.415385
304.787234	0.415385
305.319149	0.415385
305.851064	0.415385
306.382979	0.415385
306.914894	0.415385
307.446809	0.416224
307.978723	0.416224
308.510638	0.416224
309.042553	0.416224
309.574468	0.416224
310.106383	0.416224
310.638298	0.416224
311.170213	0.416224
311.702128	0.416224
312.234043	0.416224
312.765957	0.416224
313.297872	0.417063
313.829787	0.417063
314.361702	0.417063
314.893617	0.417063
315.425532	0.417063
315.957447	0.417063
316.489362	0.417902
317.021277	0.417902
317.553191	0.417902
318.085106	0.417902
318.617021	0.417902
319.148936	0.417902
319.680851	0.418741
320.212766	0.418741
320.744681	0.418741
321.276596	0.418741
321.808511	0.418741
322.340426	0.418741
322.872340	0.418741
323.404255	0.419580
323.936170	0.419580
324.468085	0.419580
325.000000	0.419580
325.531915	0.419580
326.063830	0.419580
326.595745	0.419580
327.127660	0.419580
327.659574	0.419580
328.191489	0.419580
328.723404	0.419580
329.255319	0.418741
329.787234	0.418741
330.319149	0.417902
330.851064	0.417902
331.382979	0.417063
331.914894	0.416224
332.446809	0.415385
332.978723	0.414545
333.510638	0.413706
334.042553	0.412867
334.574468	0.412028
335.106383	0.411189
335.638298	0.409510
336.170213	0.408671
336.702128	0.407832
337.234043	0.406993
337.765957	0.406154
338.297872	0.405315
338.829787	0.404476
339.361702	0.403636
339.893617	0.402797
340.425532	0.401119
340.957447	0.400280
341.489362	0.398601
342.021277	0.397762
342.553191	0.396923
343.085106	0.395245
343.617021	0.394406
344.148936	0.393566
344.680851	0.391888
345.212766	0.391049
345.744681	0.390210
346.276596	0.388531
346.808511	0.387692
347.340426	0.386853
347.872340	0.386014
348.404255	0.385175
348.936170	0.383497
349.468085	0.382657
350.000000	0.381818
350.531915	0.380979
351.063830	0.380140
351.595745	0.379301
352.127660	0.378462
352.659574	0.377622
353.191489	0.376783
353.723404	0.375944
354.255319	0.375105
354.787234	0.374266
355.319149	0.373427
355.851064	0.372587
356.382979	0.371748
356.914894	0.370909
357.446809	0.370909
357.978723	0.370070
358.510638	0.369231
359.042553	0.369231
359.574468	0.368392
360.106383	0.368392
360.638298	0.367552
361.170213	0.367552
361.702128	0.367552
362.234043	0.366713
362.765957	0.366713
363.297872	0.366713
363.829787	0.366713
364.361702	0.366713
364.893617	0.367552
365.425532	0.367552
365.957447	0.367552
366.489362	0.368392
367.021277	0.369231
367.553191	0.369231
368.085106	0.370070
368.617021	0.370909
369.148936	0.371748
369.680851	0.373427
370.212766	0.374266
370.744681	0.375105
371.276596	0.376783
371.808511	0.377622
372.340426	0.379301
372.872340	0.380979
373.404255	0.381818
373.936170	0.383497
374.468085	0.385175
375.000000	0.386853
375.531915	0.388531
376.063830	0.391049
376.595745	0.392727
377.127660	0.394406
377.659574	0.396084
378.191489	0.397762
378.723404	0.399441
379.255319	0.401119
379.787234	0.402797
380.319149	0.405315
380.851064	0.406993
381.382979	0.408671
381.914894	0.410350
382.446809	0.412028
382.978723	0.413706
383.510638	0.415385
384.042553	0.417063
384.574468	0.418741
385.106383	0.420420
385.638298	0.422098
386.170213	0.423776
386.702128	0.425455
387.234043	0.427133
387.765957	0.428811
388.297872	0.429650
388.829787	0.431329
389.361702	0.432168
389.893617	0.433846
390.425532	0.434685
390.957447	0.435524
391.489362	0.437203
392.021277	0.438042
392.553191	0.438881
393.085106	0.439720
393.617021	0.440559
394.148936	0.441399
394.680851	0.442238
395.212766	0.443916
395.744681	0.444755
396.276596	0.444755
396.808511	0.445594
397.340426	0.446434
397.872340	0.447273
398.404255	0.448112
398.936170	0.448951
399.468085	0.449790
400.000000	0.450629
400.531915	0.451469
401.063830	0.452308
401.595745	0.452308
402.127660	0.452308
402.659574	0.453147
403.191489	0.453986
403.723404	0.453986
404.255319	0.454825
404.787234	0.455664
405.319149	0.455664
405.851064	0.456503
406.382979	0.456503
406.914894	0.457343
407.446809	0.458182
407.978723	0.458182
408.510638	0.459021
409.042553	0.459021
409.574468	0.459860
410.106383	0.459860
410.638298	0.460699
411.170213	0.460699
411.702128	0.461538
412.234043	0.461538
412.765957	0.462378
413.297872	0.462378
413.829787	0.463217
414.361702	0.463217
414.893617	0.463217
415.425532	0.464056
415.957447	0.464056
416.489362	0.464895
417.021277	0.464895
417.553191	0.465734
418.085106	0.465734
418.617021	0.465734
419.148936	0.466573
419.680851	0.466573
420.212766	0.466573
420.744681	0.467413
421.276596	0.467413
421.808511	0.468252
422.340426	0.468252
422.872340	0.469091
423.404255	0.469091
423.936170	0.469091
424.468085	0.469930
425.000000	0.469930
425.531915	0.469930
426.063830	0.470769
426.595745	0.470769
427.127660	0.471608
427.659574	0.471608
428.191489	0.471608
428.723404	0.472448
429.255319	0.472448
429.787234	0.473287
430.319149	0.473287
430.851064	0.474126
431.382979	0.474126
431.914894	0.474126
432.446809	0.474965
432.978723	0.474965
433.510638	0.475804
434.042553	0.475804
434.574468	0.475804
435.106383	0.476643
435.638298	0.477483
436.170213	0.477483
436.702128	0.478322
437.234043	0.478322
437.765957	0.479161
438.297872	0.479161
438.829787	0.480000
439.361702	0.480839
439.893617	0.480839
440.425532	0.481678
440.957447	0.481678
441.489362	0.482517
442.021277	0.483357
442.553191	0.483357
443.085106	0.484196
443.617021	0.484196
444.148936	0.485035
444.680851	0.485874
445.212766	0.485874
445.744681	0.486713
446.276596	0.487552
446.808511	0.487552
447.340426	0.488392
447.872340	0.489231
448.404255	0.490070
448.936170	0.490909
449.468085	0.490909
450.000000	0.491748
450.531915	0.492587
451.063830	0.493427
451.595745	0.493427
452.127660	0.494266
452.659574	0.495944
453.191489	0.496783
453.723404	0.497622
454.255319	0.498462
454.787234	0.500140
455.319149	0.500979
455.851064	0.501818
456.382979	0.502657
456.914894	0.503497
457.446809	0.505175
457.978723	0.505175
458.510638	0.506014
459.042553	0.506853
459.574468	0.506853
460.106383	0.507692
460.638298	0.508531
461.170213	0.509371
461.702128	0.509371
462.234043	0.510210
462.765957	0.511049
463.297872	0.511049
463.829787	0.511888
464.361702	0.511888
464.893617	0.512727
465.425532	0.512727
465.957447	0.512727
466.489362	0.513566
467.021277	0.513566
467.553191	0.513566
468.085106	0.514406
468.617021	0.514406
469.148936	0.514406
469.680851	0.515245
470.212766	0.515245
470.744681	0.515245
471.276596	0.515245
471.808511	0.515245
472.340426	0.515245
472.872340	0.516084
473.404255	0.516084
473.936170	0.516084
474.468085	0.516084
475.000000	0.516084
475.531915	0.516084
476.063830	0.516084
476.595745	0.516084
477.127660	0.516084
477.659574	0.516084
478.191489	0.516084
478.723404	0.516923
479.255319	0.516923
479.787234	0.516923
480.319149	0.516923
480.851064	0.516923
481.382979	0.516923
481.914894	0.516923
482.446809	0.516923
482.978723	0.516923
483.510638	0.516923
484.042553	0.517762
484.574468	0.517762
485.106383	0.517762
485.638298	0.517762
486.170213	0.517762
486.702128	0.517762
487.234043	0.517762
487.765957	0.518601
488.297872	0.518601
488.829787	0.518601
489.361702	0.518601
489.893617	0.518601
490.425532	0.518601
490.957447	0.518601
491.489362	0.518601
492.021277	0.518601
492.553191	0.518601
493.085106	0.518601
493.617021	0.519441
494.148936	0.519441
494.680851	0.519441
495.212766	0.519441
495.744681	0.519441
496.276596	0.519441
496.808511	0.520280
497.340426	0.520280
497.872340	0.520280
498.404255	0.520280
498.936170	0.520280
499.468085	0.520280
500.000000	0.521119
500.531915	0.521119
501.063830	0.521119
501.595745	0.521119
502.127660	0.521119
502.659574	0.521119
503.191489	0.521119
503.723404	0.521958
504.255319	0.521958
504.787234	0.521958
505.319149	0.521958
505.851064	0.521958
506.382979	0.521958
506.914894	0.521958
507.446809	0.521958
507.978723	0.521958
508.510638	0.521958
509.042553	0.522797
509.574468	0.522797
510.106383	0.522797
510.638298	0.522797
511.170213	0.522797
511.702128	0.522797
512.234043	0.522797
512.765957	0.522797
513.297872	0.522797
513.829787	0.522797
514.361702	0.523636
514.893617	0.523636
515.425532	0.523636
515.957447	0.523636
516.489362	0.523636
517.021277	0.523636
517.553191	0.523636
518.085106	0.523636
518.617021	0.523636
519.148936	0.523636
519.680851	0.523636
520.212766	0.522797
520.744681	0.522797
521.276596	0.522797
521.808511	0.522797
522.340426	0.521958
522.872340	0.521958
523.404255	0.521958
523.936170	0.521958
524.468085	0.521958
525.000000	0.521119
525.531915	0.521119
526.063830	0.520280
526.595745	0.520280
527.127660	0.519441
527.659574	0.519441
528.191489	0.519441
528.723404	0.518601
529.255319	0.518601
529.787234	0.518601
530.319149	0.517762
530.851064	0.517762
531.382979	0.516923
531.914894	0.516084
532.446809	0.516084
532.978723	0.516084
533.510638	0.515245
534.042553	0.515245
534.574468	0.514406
535.106383	0.514406
535.638298	0.513566
536.170213	0.513566
536.702128	0.512727
537.234043	0.512727
537.765957	0.511888
538.297872	0.511888
538.829787	0.511049
539.361702	0.511049
539.893617	0.510210
540.425532	0.510210
540.957447	0.509371
541.489362	0.509371
542.021277	0.508531
542.553191	0.508531
543.085106	0.507692
543.617021	0.507692
544.148936	0.506853
544.680851	0.506853
545.212766	0.506014
545.744681	0.506014
546.276596	0.505175
546.808511	0.505175
547.340426	0.505175
547.872340	0.504336
548.404255	0.503497
548.936170	0.503497
549.468085	0.502657
550.000000	0.502657
550.531915	0.501818
551.063830	0.500979
551.595745	0.500979
552.127660	0.500140
552.659574	0.500140
553.191489	0.499301
553.723404	0.499301
554.255319	0.498462
554.787234	0.498462
555.319149	0.497622
555.851064	0.496783
556.382979	0.496783
556.914894	0.495944
557.446809	0.495944
557.978723	0.495105
558.510638	0.495105
559.042553	0.494266
559.574468	0.494266
560.106383	0.493427
560.638298	0.493427
561.170213	0.492587
561.702128	0.491748
562.234043	0.491748
562.765957	0.490909
563.297872	0.490909
563.829787	0.490070
564.361702	0.490070
564.893617	0.489231
565.425532	0.488392
565.957447	0.488392
566.489362	0.487552
567.021277	0.487552
567.553191	0.486713
568.085106	0.486713
568.617021	0.485874
569.148936	0.485035
569.680851	0.485035
570.212766	0.484196
570.744681	0.484196
571.276596	0.483357
571.808511	0.482517
572.340426	0.482517
572.872340	0.481678
573.404255	0.480839
573.936170	0.480839
574.468085	0.480000
575.000000	0.479161
575.531915	0.479161
576.063830	0.478322
576.595745	0.477483
577.127660	0.477483
577.659574	0.476643
578.191489	0.475804
578.723404	0.474965
579.255319	0.474965
579.787234	0.474126
580.319149	0.473287
580.851064	0.473287
581.382979	0.472448
581.914894	0.472448
582.446809	0.471608
582.978723	0.470769
583.510638	0.469930
584.042553	0.469930
584.574468	0.469091
585.106383	0.468252
585.638298	0.468252
586.170213	0.467413
586.702128	0.466573
587.234043	0.466573
587.765957	0.465734
588.297872	0.464895
588.829787	0.464895
589.361702	0.464056
589.893617	0.463217
590.425532	0.463217
590.957447	0.462378
591.489362	0.461538
592.021277	0.460699
592.553191	0.460699
593.085106	0.459860
593.617021	0.459021
594.148936	0.459021
594.680851	0.458182
595.212766	0.457343
595.744681	0.457343
596.276596	0.456503
596.808511	0.455664
597.340426	0.455664
597.872340	0.454825
