# wavelength [nm], transmission T [%]
4.670000000000000000e+02,1.294106909249525827e+01
4.675000000000000000e+02,1.338911630202548686e+01
4.680000000000000000e+02,1.375965675808218691e+01
4.685000000000000000e+02,1.398367813043358510e+01
4.690000000000000000e+02,1.417975807188318349e+01
4.695000000000000000e+02,1.430661652301540343e+01
4.700000000000000000e+02,1.423290508611880512e+01
4.705000000000000000e+02,1.408517945978879915e+01
4.710000000000000000e+02,1.408299553356746081e+01
4.715000000000000000e+02,1.419955500916118751e+01
4.720000000000000000e+02,1.429657776652583934e+01
4.725000000000000000e+02,1.451192899861547225e+01
4.730000000000000000e+02,1.483076513001608454e+01
4.735000000000000000e+02,1.504913677115409243e+01
4.740000000000000000e+02,1.524383717842649766e+01
4.745000000000000000e+02,1.552999728383143641e+01
4.750000000000000000e+02,1.565480009508614678e+01
4.755000000000000000e+02,1.560205715475974309e+01
4.760000000000000000e+02,1.569092466775732220e+01
4.765000000000000000e+02,1.583471352412294308e+01
4.770000000000000000e+02,1.591649849983535425e+01
4.775000000000000000e+02,1.617502395222679468e+01
4.780000000000000000e+02,1.665457533899072828e+01
4.785000000000000000e+02,1.706772016903185119e+01
