location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
-3.77655e+00	-2.51770e+00	1.49330e+02	7.81291e+02
-3.48985e+00	-2.32657e+00	1.52880e+02	7.99862e+02
-3.20315e+00	-2.13543e+00	1.56594e+02	8.19293e+02
-2.91645e+00	-1.94430e+00	1.60432e+02	8.39376e+02
-2.62975e+00	-1.75317e+00	1.64059e+02	8.58350e+02
-2.34305e+00	-1.56203e+00	1.67903e+02	8.78461e+02
-2.05635e+00	-1.37090e+00	1.71476e+02	8.97156e+02
-1.76965e+00	-1.17977e+00	1.75331e+02	9.17327e+02
-1.48296e+00	-9.88637e-01	1.78665e+02	9.34769e+02
-1.19626e+00	-7.97505e-01	1.82198e+02	9.53252e+02
-9.09558e-01	-6.06372e-01	1.85391e+02	9.69963e+02
-6.22859e-01	-4.15239e-01	1.88797e+02	9.87782e+02
-3.36160e-01	-2.24107e-01	1.91937e+02	1.00421e+03
-4.94613e-02	-3.29742e-02	1.95338e+02	1.02200e+03
2.37238e-01	1.58158e-01	1.98438e+02	1.03822e+03
5.23936e-01	3.49291e-01	2.01454e+02	1.05400e+03
8.10635e-01	5.40424e-01	2.04262e+02	1.06869e+03
1.09733e+00	7.31556e-01	2.06791e+02	1.08192e+03
1.38403e+00	9.22689e-01	2.09473e+02	1.09595e+03
1.67073e+00	1.11382e+00	2.11825e+02	1.10826e+03
1.95743e+00	1.30495e+00	2.14357e+02	1.12151e+03
2.24413e+00	1.49609e+00	2.16322e+02	1.13179e+03
2.53083e+00	1.68722e+00	2.18439e+02	1.14286e+03
2.81753e+00	1.87835e+00	2.20392e+02	1.15309e+03
3.10423e+00	2.06948e+00	2.22060e+02	1.16181e+03
3.39093e+00	2.26062e+00	2.23359e+02	1.16861e+03
3.67762e+00	2.45175e+00	2.24440e+02	1.17427e+03
3.96432e+00	2.64288e+00	2.25216e+02	1.17832e+03
4.25102e+00	2.83401e+00	2.25820e+02	1.18148e+03
4.53772e+00	3.02515e+00	2.26084e+02	1.18287e+03
4.82442e+00	3.21628e+00	2.26752e+02	1.18636e+03
5.11112e+00	3.40741e+00	2.26632e+02	1.18573e+03
5.39782e+00	3.59855e+00	2.26426e+02	1.18465e+03
5.68452e+00	3.78968e+00	2.26126e+02	1.18308e+03
5.97122e+00	3.98081e+00	2.25096e+02	1.17770e+03
6.25791e+00	4.17194e+00	2.24118e+02	1.17258e+03
6.54461e+00	4.36308e+00	2.22546e+02	1.16436e+03
6.83131e+00	4.55421e+00	2.20733e+02	1.15487e+03
7.11801e+00	4.74534e+00	2.18246e+02	1.14186e+03
7.40471e+00	4.93647e+00	2.16063e+02	1.13043e+03
7.69141e+00	5.12761e+00	2.13177e+02	1.11534e+03
7.97811e+00	5.31874e+00	2.10408e+02	1.10085e+03
8.26481e+00	5.50987e+00	2.07712e+02	1.08674e+03
8.55151e+00	5.70100e+00	2.04799e+02	1.07150e+03
8.83820e+00	5.89214e+00	2.01569e+02	1.05460e+03
