,Name,Description,Status,Value,Unit,Update_Time,System_Time,Data_Age
31,@p:integration:r:267ea201-b86a0389 '71-AHU-37 Return Air Temperature',Return Air Temperature,ok,69,.,2020-06-18 12:20:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 23:35:26.625499
32,@p:integration:r:267ea201-159d86d3 '71-AHU-38 Return Air Temperature',Return Air Temperature,ok,76,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
33,@p:integration:r:267ea201-9672c6e7 '71-AHU-36 Outside Air Temperature',Outside Air Temperature,ok,62,.,2020-06-19 09:53:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:02:26.625499
34,@p:integration:r:267d5139-4ba5ce20 '71-AHU-39 Supply Air Temperature',Supply Air Temperature,ok,61,.,2020-06-18 06:17:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 05:38:26.625499
35,@p:integration:r:267d5139-aee72aca '71-AHU-34 Supply Air Temperature',Supply Air Temperature,ok,59,.,2020-06-18 06:17:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 05:38:26.625499
36,@p:integration:r:2683c081-5c3a5d42 '71-AHU-38 Zone Relative Humidity',Zone Relative Humidity,ok,27,.,2020-06-22 09:55:00-07:00,2024-10-29 11:55:26.625499-07:00,1590 days 02:00:26.625499
37,@p:integration:r:267e619f-e9e84253 '71-AHU-39 Economizer Outside Air Temperature Lockout',Outside Air Temperature Lockout,ok,65,.,2022-01-06 15:00:00-08:00,2024-10-29 11:55:26.625499-07:00,1026 days 19:55:26.625499
38,@p:integration:r:267ea201-8710bdaa 'B71 BELLA Lab Lab 146 ERC [Zone 3 (E)] Zone Temperature (Laser 3)',Zone Temperature (Laser 3),ok,70,.,2020-06-19 09:52:00-07:00,2024-10-29 11:55:26.625499-07:00,1593 days 02:03:26.625499
39,@p:integration:r:267e623c-c00e0b8c '71-AHU-38 Mixed Air Temperature',Mixed Air Temperature,ok,73,.,2020-06-18 09:51:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 02:04:26.625499
40,@p:integration:r:267d5625-fc6fe48a '71-AHU-36 Supply Air Relative Humidity',Supply Air Relative Humidity,ok,50,.,2020-06-18 06:17:00-07:00,2024-10-29 11:55:26.625499-07:00,1594 days 05:38:26.625499
